**************************************************************************************************
* User Aspect Interaction Tagging for Thread Posts in Forums
*		School of Information System
*       Singapore Management University    
*
* 1 The tagging format is as follows:
*   SentID \t PostID \t Aspect \t AspectWordsIndex \t Opinion \t OpinionWordsIndex \t OpinionPolarity \t Sentence
*   eg. 104	26	Obama	0	worst	4	negative	Obama will be the worst President . 
* 2 The delimiters between tag tokens are \t and the delimiters between aspect words index and
*   opinion words index are blanks.
* 3 Aspect words index and opinion words index are from splitting result by blanks of the sentence.
*   Both of them are begun with 0. 
* 4 If there are multiple Aspect-Opinion pair in one sentence, there will be multiple tag line for 
*   this sentence.
**************************************************************************************************
11	9	So you 'll take a stance on Palin ... already made up your mind ... but 11 's to early to take a stance on Obama ??? 
14	12	Folks have no idea how Palin would do , yet Folks would not vote for her , but Folks still have n't made up Folks minds about Obama , even though Obama has proven to be a disaster . 
18	13	we say NO because we know how Obama is trying to -LRB- \* -RRB- -LRB- \* -RRB- -LRB- \* -RRB- -LRB- \* -RRB- we all . 
24	15	I 'll vote for Obama over any of the Republicans now in the field . 
25	15	Obama has kept Obama campaign promises . 
34	15	Obama has n't weakened security in any way . 
41	15	I am not aware of a single instance where Obama lied . 
42	15	As far as the BS goes , Obama is a politician and enemies all suffer from that a bit . 
55	22	Obama has done a pretty good job as President , so already your thread is a big fat fail . 
80	22	Never mind when Bush was doing depression , at least Obama is doing depression to help not help Bush , like Bush . 
88	23	This from someone that did n't worry about Bush 's spending , or the fact that Bush had a surplus and blew spending and handed Obama a deficit . 
89	23	And yes , Obama has strengthened ties with our allies and stoop up to our enemies , the fact that you are are n't aware of yes is because Obama does yes with finesse , not like the buffoon our had before . 
91	24	Obama 's approval rating is 47 % . 
92	24	Obama term average is 57 % The average for US Presidents -LRB- since FDR -RRB- is 55 % , so Obama is doing better than that . 
93	24	Your beloved Reagan had 44 % at the same time in office as Obama . 
94	24	-LRB- So Obama is doing better -RRB- . 
103	26	Your answers are that of a typical blind Obama sheep . 
104	26	Obama will be the worst President . 
105	26	Obama will not keep Obama promise about tax cuts for 95 % of Americans . 
133	32	Obama is doing fine . 
134	32	The only ones finding fault with the things Obama is doing are the neo-cons , right-wing , tea baggers , not much to consider . 
135	32	Palin criticized Obama for Obama stance on reducing nuclear weapons . 
137	32	So , Reagan , your idol was right , but Obama is wrong ? 
148	35	As thing is refined , more and more people -LRB- except the right-wing sheep -RRB- will be able to see and Obama will get the credit Obama deserves . 
149	35	thing is time for the right to quit trying to control what Obama does or does n't do , you had your chance and you blew thing , with Bush . 
154	35	Well , being that you have already been proven wrong -LRB- you said Obama had not been able to do anything Obama promised -RRB- , it is hard to believe anything the right says . 
162	38	In the subsequent segment , titled `` DANGEROUS RHETORIC : When heated words incite threats & violence , '' CNN 's panel agreed Obama 's political opponents are inciting violence and are motivated by racism -- undeterred by Palin 's assurance , which CNN played : When I talk about segment 's not a time to retreat , segment 's a time to reload , what I 'm talking about -- now , media , try to get this right , okay ? 
198	43	Unless Jesus runs against Jesus , I will be voting for Obama in 2012 . 
215	57	Most of your post is delusional , especially the part about Obama not having lied . 
233	64	You do realize that a lot of the disapproval comes from liberals who are upset with Obama for not ending the wars and not closing Gitmo , right ? 
