nvyn_2	august_1
jstantall_1	banshee_2
kamranw_1	banshee_2
lawnman_1	banshee_2
jstantall_1	jessicanymph_2
smcdebater_5	nvyn_2
helloim123_1	nvyn_2
jstantall_1	nvyn_2
kamranw_1	nvyn_2
khfan22_6	nvyn_2
lawnman_1	nvyn_2
asdf789_1	prevaricate_2
jstantall_1	prevaricate_2
spoonerism_2	smcdebater_5
iamdavidh_2	smcdebater_5
jstantall_1	spoonerism_2
jstantall_1	andsoccer16_2
jstantall_1	asdf789_1
jstantall_1	atypican_2
lawnman_1	chapulina_4
iamdavidh_2	dtrimble_1
iamdavidh_2	helloim123_1
nattymoon24_1	helloim123_1
jstantall_1	iamdavidh_2
khaos_2	jstantall_1
wolfbite_3	jstantall_1
manastacious_2	kamranw_1
daddysays_2	nattymoon24_1
